split,gainratio
"[['sales', 'systems', 'marketing', 'secretary']]",
"[['sales'], ['systems', 'marketing', 'secretary']]",0.011310455822798113
"[['sales', 'systems'], ['marketing', 'secretary']]",0.05903395787473295
"[['systems'], ['sales', 'marketing', 'secretary']]",0.0031210091513539043
"[['sales'], ['systems'], ['marketing', 'secretary']]",0.028382679739766027
"[['sales', 'systems', 'marketing'], ['secretary']]",0.004063026969816613
"[['systems', 'marketing'], ['sales', 'secretary']]",0.00921482192782953
"[['sales'], ['systems', 'marketing'], ['secretary']]",0.009060687538362427
"[['sales', 'marketing'], ['systems', 'secretary']]",0.0005954437227082374
"[['marketing'], ['sales', 'systems', 'secretary']]",0.10170476143864018
"[['sales'], ['marketing'], ['systems', 'secretary']]",0.03595512359265667
"[['sales', 'systems'], ['marketing'], ['secretary']]",0.06127734938179885
"[['systems'], ['sales', 'marketing'], ['secretary']]",0.0031202775227735396
"[['systems'], ['marketing'], ['sales', 'secretary']]",0.03937705169170025
"[['sales'], ['systems'], ['marketing'], ['secretary']]",0.03272052178591081
"[[0], [1, 2, 3, 4, 5]]",0.07418439021213288
"[[0, 1], [2, 3, 4, 5]]",0.2100537482503089
"[[0, 1, 2], [3, 4, 5]]",0.3248425794006539
"[[0, 1, 2, 3], [4, 5]]",0.23670157022633592
"[[0, 1, 2, 3, 4], [5]]",0.20421757873961674
"[[0], [1], [2, 3, 4, 5]]",0.15328008400665166
"[[0], [1, 2], [3, 4, 5]]",0.17967649328120025
"[[0], [1, 2, 3], [4, 5]]",0.11880867470387327
"[[0], [1, 2, 3, 4], [5]]",0.09975380364180521
"[[0, 1], [2], [3, 4, 5]]",0.20536112364920767
"[[0, 1], [2, 3], [4, 5]]",0.19479900069574893
"[[0, 1], [2, 3, 4], [5]]",0.19654920194679945
"[[0, 1, 2], [3], [4, 5]]",0.2683663708635668
"[[0, 1, 2], [3, 4], [5]]",0.2777682286313851
"[[0, 1, 2, 3], [4], [5]]",0.20317508643833032
"[[0], [1], [2], [3, 4, 5]]",0.16238930530611073
"[[0], [1], [2, 3], [4, 5]]",0.1495316949803541
"[[0], [1], [2, 3, 4], [5]]",0.14861190641382105
"[[0], [1, 2], [3], [4, 5]]",0.1631025772805461
"[[0], [1, 2], [3, 4], [5]]",0.1660852350183944
"[[0], [1, 2, 3], [4], [5]]",0.11275149049951734
"[[0, 1], [2], [3], [4, 5]]",0.19132367141934867
"[[0, 1], [2], [3, 4], [5]]",0.19390412247812178
"[[0, 1], [2, 3], [4], [5]]",0.1882411006280191
"[[0, 1, 2], [3], [4], [5]]",0.25030433784410727
"[[1], [2, 3, 4, 5, 6]]",0.129748137188963
"[[1, 2], [3, 4, 5, 6]]",0.3123770151135283
"[[1, 2, 3], [4, 5, 6]]",0.2552615461336595
"[[1, 2, 3, 4], [5, 6]]",0.28791931572322765
"[[1, 2, 3, 4, 5], [6]]",0.24634366735626942
"[[1], [2], [3, 4, 5, 6]]",0.20550362779722622
"[[1], [2, 3], [4, 5, 6]]",0.1669521429177646
"[[1], [2, 3, 4], [5, 6]]",0.18433463999590202
"[[1], [2, 3, 4, 5], [6]]",0.1426093487461672
"[[1, 2], [3], [4, 5, 6]]",0.2819234434432972
"[[1, 2], [3, 4], [5, 6]]",0.25781692430644565
"[[1, 2], [3, 4, 5], [6]]",0.2694768392692193
"[[1, 2, 3], [4], [5, 6]]",0.2512028783018741
"[[1, 2, 3], [4, 5], [6]]",0.22523462846652612
"[[1, 2, 3, 4], [5], [6]]",0.2494102013685471
"[[1], [2], [3], [4, 5, 6]]",0.19352834727351365
"[[1], [2], [3, 4], [5, 6]]",0.18106052080857588
"[[1], [2], [3, 4, 5], [6]]",0.18924908438493035
"[[1], [2, 3], [4], [5, 6]]",0.17140920536369472
"[[1], [2, 3], [4, 5], [6]]",0.15737597325466202
"[[1], [2, 3, 4], [5], [6]]",0.1709501505165111
"[[1, 2], [3], [4], [5, 6]]",0.2754624312548135
"[[1, 2], [3], [4, 5], [6]]",0.2506908234110767
"[[1, 2], [3, 4], [5], [6]]",0.23024599933724751
"[[1, 2, 3], [4], [5], [6]]",0.22277033818212558
